symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2020-03-18,140.4,146.0,135.02,138.0,81593173,138.6679713999,144.198887638,133.3543411568,136.2975787264,81593173,0.0,1.0
MSFT,2020-03-19,142.71,150.15,139.0,142.77,85922661,140.9494743481,148.297691636,137.2852423403,141.0087341649,85922661,0.0,1.0
MSFT,2020-03-20,137.35,147.1,135.86,146.0,84866215,135.6555973773,145.2853176134,134.1839785925,144.198887638,84866215,0.0,1.0
MSFT,2020-03-23,135.98,140.57,132.52,137.01,78975176,134.3024982262,138.8358742142,130.8851821219,135.3197917485,78975176,0.0,1.0
MSFT,2020-03-24,148.34,149.6,141.27,143.75,82516727,146.5100204947,147.7544766483,139.527238744,141.9766445066,82516727,0.0,1.0
MSFT,2020-03-25,146.92,154.33,144.44,148.91,75638224,145.1075381629,152.4261255423,142.6581324003,147.0729887547,75638224,0.0,1.0
MSFT,2020-03-26,156.11,156.66,148.37,148.4,64694427,154.1841667752,154.7273817628,146.5396504031,146.5692803115,64694427,0.0,1.0
MSFT,2020-03-27,149.7,154.89,149.2,151.75,57042291,147.8532430097,152.9792171661,147.3594112027,149.8779534183,57042291,0.0,1.0
MSFT,2020-03-30,160.23,160.6,150.01,152.44,63420326,158.2533408647,158.6187764018,148.15941873,150.5594413119,63420326,0.0,1.0
MSFT,2020-03-31,157.71,164.78,156.56,159.4,77927186,155.7644285575,162.7472103082,154.6286154014,157.4335800651,77927186,0.0,1.0
MSFT,2020-04-01,152.11,157.75,150.82,153.0,57969926,150.2335123193,155.8039351021,148.9594262573,151.1125329357,57969926,0.0,1.0
MSFT,2020-04-02,155.26,155.48,150.36,151.86,49630735,153.3446527033,153.5619386984,148.5051009949,149.9865964158,49630735,0.0,1.0
MSFT,2020-04-03,153.83,157.38,152.19,155.1,41243284,151.9322937353,155.4384995649,150.3125254084,153.1866265251,41243284,0.0,1.0
MSFT,2020-04-06,165.27,166.5,157.58,160.32,67111697,163.231165479,164.4459917242,155.6360322877,158.3422305899,67111697,0.0,1.0
MSFT,2020-04-07,163.49,170.0,163.26,169.59,62769038,161.4731242462,167.9028143731,161.245961615,167.4978722913,62769038,0.0,1.0
